0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
brownish	gray	browned	browns	browning	browner	blackish	tan	colored	grey	russet	yellowy	flecked	greyish	yellowing	beige	yellowish	color	maroon	dark	splotched	splotches	mottled	greenish	taupe	stained	grayish	reddish	ocher	brownness	teal	discolored	yellows	pink	shiny	matted	pinkish	fringed	sienna	pale	crimson	yellowed	speckled	whitish	ochre	speckles	gabardine	thick	woollen	leathered	tufts	blotched	darkish	splotch	tasseled	leathery	bluegreen	unwrinkled	blotches	herringbone	splotchy	specked	wrinkled	guayabera	collarless	speckling	clumpy	mottling	corduroy	iridescent	scarlet	lusterless	Reddish	grays	mohair	caking	velveteen	complexioned	hued	corduroys	graying	purpled	nubby	stippled	flecks	Flecks	colorless	patches	vermilion	butterscotch	rust	amber	lank	tawny	grained	violet	plaid	grayed	staining	houndstooth
gray	bluegreen	pink	violet	blued	crimson	maroon	turquoise	cobalt	purples	aquamarine	cerulean	indigo	grey	yellows	bluer	lavender	paisley	color	magenta	patterned	scarlet	purpled	colored	silver	teal	greyish	flecked	greenish	azure	bluest	pinkish	bloodred	dark	iridescent	pinks	opalescent	beige	burgundy	colors	bluish	pearlescent	striped	palest	pale	purplish	sienna	shimmery	speckles	pastel	yellowy	luminescent	specked	vermilion	reddish	sharkskin	speckled	Turquoise	gold	greeny	gabardine	hue	bright	embroidered	aqua	sky	fuchsia	starbursts	taupe	polyester	brownish	acrylic	blueness	luminous	tinted	chartreuse	emerald	bluing	reds	silvery	Blue	tricolor	pinking	collarless	cornflowers	browns	lapis	flowered	grays	silvering	coloration	ribboned	splotches	fringed	grayish	pinafore	roseate	speckling	hues	yellowish
purples	purpled	pink	purplish	violet	purpling	lavender	scarlet	crimson	Purple	magenta	fuchsia	pinks	bluegreen	gray	yellows	bloodred	pinkish	paisley	turquoise	violets	striped	pinking	tangerine	roseate	hues	bluish	splotches	maroon	greeny	pale	hue	chartreuse	yellowy	reddish	color	splotched	pistils	greenish	colors	reds	snapdragons	aquamarine	sienna	teal	cornflowers	flowered	cobalt	iridescent	yellowish	brownish	luminous	palest	indigo	luminescent	splotch	blued	rhinestones	blotches	starbursts	starburst	lilac	hued	emerald	peach	yellowing	shades	ocher	tricolor	dark	mauve	translucent	reddening	darkish	swollen	colourful	tangerines	cirrus	colored	tinted	vermilion	bulging	carmine	phlox	pearlescent	florescent	pinker	greyish	pinafore	blackish	puffy	puce	tourmaline	discolored	bluer	flowering	leotard	monochrome	gold	gaudily
whited	whitely	whiten	pink	whitening	gray	whitest	whitened	whiter	colored	whites	White	whitish	whiteness	pale	greyish	beige	grey	yellowing	sharkskin	yellowish	Colored	collarless	silvering	yellowy	grayish	bloodred	brownish	silver	whitemen	bluegreen	coloured	patterned	wimple	checkerboard	pastel	scarlet	dark	scalloped	maroon	translucent	graphite	silvered	reddish	yellowed	striping	yellows	starched	whiteman	lusterless	mottled	shiny	butternut	speckled	lucent	pinkish	checkered	speckles	guayabera	darkish	stained	thin	feathered	crimson	silvery	blackish	multicolored	color	satiny	bleached	bright	billowing	unbleached	sateen	discolored	bare	greasepaint	whitefish	browned	cerise	purpled	finned	filmy	grayhaired	minidress	taupe	caking	velveteen	violet	pearlescent	iridescent	voile	purples	ribboned	unwrinkled	gabardine	gaudily	striped	immaculately	painted
bluegreen	greenish	greeny	gray	greens	purples	greening	yellows	greened	teal	greenly	pink	browns	crimson	brownish	colored	color	purpled	scarlet	violet	greenness	pinkish	emerald	dark	aquamarine	greensward	maroon	patches	umber	speckled	iridescent	striped	russet	greener	chartreuse	patterned	vermilion	flecked	yellowish	splotches	yellowing	yellowy	cornflowers	speckles	leaved	greenery	grey	browned	purplish	aqua	colors	shimmery	burgundy	browning	poinsettia	blackish	lavender	magenta	greyish	pinks	verdant	darkish	specked	blued	greenest	multicolored	greenies	pearlescent	swatches	luminescent	fern	translucent	Green	paisley	shiny	striping	speckling	blotches	bloodred	cerulean	amber	hyacinth	yeUow	shimmering	golden	swatch	speckle	flowered	reds	snapdragons	sienna	beige	loopleaves	monochromatic	fuchsia	hyacinths	lucent	iridescence	bioluminescent	ocher
yellows	yellowing	yellowy	yellowish	yellowed	pink	crimson	greenish	purples	Yellow	colored	gray	brownish	violet	reddish	magenta	pinkish	chartreuse	pinking	maroon	scarlet	flecked	whitish	greeny	pearlescent	purpled	taupe	browning	bright	specked	multicolored	florescent	vermilion	fuchsia	golden	bloodred	splotches	speckled	petaled	browns	pinks	grayish	splotched	striping	greyish	striped	yeUow	speckles	fluorescent	teal	carmine	grey	browned	speckle	columbine	plastic	luminescent	ocher	blackish	discolored	buttercups	lavender	ochre	semitransparent	shiny	goldenrod	daffodil	color	stained	flowered	greening	translucent	crescents	speckling	splotch	pale	patches	mottled	coloured	bluish	reds	tangerine	blotches	snapdragons	darkish	shimmery	fluorescents	iridescent	patterned	banded	Reddish	burgundy	staining	leaved	squiggly	cornflowers	pastel	whitely	glowed	lucent
crimson	pink	scarlet	bloodred	reddish	vermilion	pinking	redder	splotched	violet	splotches	colored	yellowing	brownish	color	tricolor	maroon	purpled	splotch	specked	magenta	chartreuse	gray	glowing	yellowish	multicolored	pinkish	dark	shiny	yellowy	yellows	purples	speckles	speckling	speckled	patterned	handpainted	burgundy	pinker	flecked	blotched	bluegreen	yeUow	blotches	greenish	bright	purplish	splotchy	stained	speckle	streaked	painted	striped	redness	glowed	gold	florescent	reddest	paisley	pearlescent	teal	umber	yellowed	reddening	striping	puffy	pulsing	mottled	spattered	vermillion	ruddy	blotch	whitely	carmine	streaks	ribboned	russet	covered	flashing	whitish	Red	silver	banded	rimmed	feathered	reds	discolored	necked	Reddish	reddened	golden	tinted	staining	blinking	browned	heartshaped	pale	stripes	colors	dirndl
gray	dark	blacked	blackish	Black	collarless	colored	blacker	sharkskin	formfitting	shapeless	grey	blackly	shiny	whited	bloodred	darkish	brownish	hlack	minidress	bluegreen	silver	maroon	silvering	speckled	beige	tailcoat	guayabera	rhinestones	houndstooth	gabardine	graphite	silvered	speckles	spangles	balaclava	taupe	iridescent	wingtips	blued	coloured	fringed	blackest	stippled	blacks	goateed	rimmed	thick	whitish	greyish	eyeholes	pinstripes	specked	berets	charcoal	sooty	pleated	herringbone	purpled	yellowy	whites	marabou	checkered	sateen	breasted	silvery	discolored	teal	hightops	starless	pinstriped	yellowish	snakeskin	whitened	tatted	sequined	collared	pinafores	swallowtail	velveteen	whitely	yellowing	indigo	woollen	oxblood	blackened	tights	blackface	ebony	pinstripe	leathered	finned	worsted	barechested	multicolored	speckle	color	whitening	eyelet	pink
oranges	pink	crimson	purples	tangerine	yellows	chartreuse	violet	magenta	Orange	yellowy	brownish	pinkish	tangerines	florescent	colored	peach	greenish	pinking	striped	iridescent	browning	purpled	pinks	garish	yellowing	yellowish	reddish	scarlet	lavender	apricot	color	fuchsia	starburst	aquamarine	fluorescent	snapdragons	phosphorescent	multicolored	reds	starbursts	luminescent	vermilion	purplish	pearlescent	ocher	browns	patterned	mango	splotches	sienna	roseate	lemon	plastic	Mylar	stripes	indigo	gray	opalescent	terry	teal	bananas	taupe	apricots	yeUow	colors	splotch	lime	tricolor	umber	ochre	amber	jacaranda	splotched	striping	greeny	poinsettia	emerald	maroon	tinted	hues	bloodred	bougainvillea	columbine	lampshades	pomegranates	bluegreen	semitransparent	overripe	greening	paisley	discolored	bright	buttercream	ovoid	pomegranate	puce	mauve	fluorescents	turquoise
unhappy	happier	glad	pleased	happiest	delighted	Happy	grateful	contented	content	excited	joyful	Unhappy	proud	happiness	cheerful	relieved	carefree	hopeful	happily	disappointed	delightful	sure	good	peaceful	pleasant	satisfied	healthy	lucky	anxious	agreeable	fortunate	wonderful	want	oblige	thrilled	nice	overjoyed	joyous	enthusiastic	funny	surprised	welcome	smiling	Grateful	discontented	disappoints	gladdened	eager	disappoint	pleases	disappointing	exuberant	miserable	pappy	Peaceful	reunited	satisfies	enjoyable	nervous	optimistic	fun	Pleased	talkative	ungrateful	blissful	comfortable	Cheerful	supportive	contentment	love	upset	overexcited	sappy	disappointingly	lovin	wish	saddened	thankful	you	amenable	think	breadwinner	elated	saddens	Pleasant	convivial	sorry	upbeat	ecstatic	hap	energetic	beautiful	mirthful	interested	expectant	satisfying	beaming	loquacious	depressed
overripe	ripening	ripened	guava	honeydew	fruit	apples	apricots	peaches	tripe	pears	ripen	berries	cherries	grapes	blackberries	zucchini	pomegranates	raspberries	breadfruit	persimmons	papayas	mangoes	pomegranate	coriander	melon	yarrow	fruits	chickpeas	mango	agave	curd	ripeness	oranges	strawberries	purslane	chokecherry	tangerines	bananas	plums	figs	apricot	inedible	arugula	seeds	blueberries	watermelon	seedpods	apple	rind	ragweed	persimmon	almonds	grapefruits	pear	melons	pureed	tangerine	cilantro	grape	parsley	manioc	basketful	maize	buds	pineapples	burdock	rutabaga	millet	radishes	aphids	avocados	compote	vine	wormwood	cored	cholla	chutney	watermelons	cranberries	puree	tubers	sprigs	carob	lemons	tomatoes	buckwheat	quince	cashew	guano	chard	goldenrod	ocotillo	phlox	sweetmeats	garnished	cornstalks	husks	mulberry	unpeeled
harder	Hard	difficult	hardest	tough	harden	Difficult	easy	hardens	toughen	impossible	tried	hardened	rough	it	trying	toughened	good	smacked	gritting	unyielding	hardening	gritty	Harder	easier	hardpan	shallowly	tight	funny	harsh	way	harshly	hurts	painfully	worked	just	squinty	forcefully	fiercely	hollowly	hardness	Trying	roughened	ached	so	painful	not	too	friable	try	lightly	unforgiving	chapped	solid	hit	tailbone	roughing	work	roughed	and	though	but	slacked	roughs	desperately	forceful	wham	gritted	calloused	still	flinty	hurt	smack	furiously	sharp	him	determined	jaw	really	actually	Gotthard	force	clay	enough	tightly	hitting	frustrating	</s>	that	dryness	smooth	right	unable	backpedaled	ingrained	lever	pounded	soften	hardheaded	wet
furious	Angry	frustrated	upset	confused	angrier	annoyed	frightened	irritated	mad	enraged	embarrassed	anxious	unhappy	disgusted	anger	worried	disappointed	angered	tired	indignant	resentful	impatient	irritable	outraged	accusing	ashamed	agitated	hungry	humiliated	excited	infuriated	alarmed	discouraged	hurt	shocked	unembarrassed	Frustrated	irate	overtired	afraid	frustrating	petulant	scared	apologetic	accusatory	reproachful	irritate	despondent	apoplectic	spiteful	Ashamed	flustered	bewildered	venomous	distraught	insulted	frustration	maddened	irritates	vengeful	Furious	anguished	Unhappy	exasperating	offended	Frightened	displeased	Disappointed	rage	Irritated	belligerent	fiercer	defiant	Shocked	exasperated	angrily	curious	disapproving	sulky	fierce	Humiliated	abusive	enrage	ugly	defensive	appeased	frustrate	horrified	teary	Enraged	nervous	puzzled	disappoints	sullen	overexcited	ungrateful	hateful	snappish	Embarrassed
sadder	unhappy	saddens	lonely	disappointed	sorrowful	saddened	saddest	sadness	melancholy	pathetic	miserable	wistful	depressed	mournful	hopeful	Unhappy	sorrowfully	tired	tragic	heartbroken	sorry	Sad	funny	frightened	disappoints	melancholic	remorseful	forlorn	contrite	depressing	weary	worried	disappointing	sappy	weepy	soulful	beautiful	Eeyore	sadnesses	disappoint	embarrassed	sympathetic	disappointingly	teary	awful	strange	confused	heartbreaking	happier	tearful	bitter	heartbreakingly	regretful	woeful	despairs	despondent	pitiful	hopeless	trite	grim	heartsick	contritely	somber	woebegone	poignant	scared	lovesick	pitying	despairing	lonesome	mourns	sick	pained	pitiable	lament	soulfully	downcast	ashamed	melodramatic	distressed	softhearted	sorrowing	gloomy	upset	sorrow	terrible	sadly	horrible	solemn	silly	reproachful	heartbreak	despair	proud	bleak	glum	bashful	Pathetic	fatherless
loved	hated	preferred	likes	wanted	Liked	enjoyed	knew	admired	cared	used	prefers	meant	Hked	adored	wished	preferring	dislikes	thought	appreciated	prefer	loathed	did	disliking	encouraged	would	resented	respected	detested	figured	complimented	especially	always	relished	could	hates	tended	believed	despised	favored	reminded	bothered	was	hate	told	dislike	d	remembered	because	distrusted	loves	referred	preference	hoped	want	understood	imagined	Loved	favorites	longed	easygoing	endeared	preferences	had	needed	envied	pleased	feared	insisted	kindhearted	funny	enjoys	frequented	tried	never	disapproved	favoured	nice	good	preferable	mistrusted	enjoy	talked	fond	loathe	suspected	excelled	tolerated	decided	favorite	minded	Hated	fancied	appealed	assumed	about	deserved	better	loathes	mothered
ripen	ripening	ripened	ripeness	overripe	fruit	peaches	apples	watermelons	grapes	mango	luscious	strawberries	fruits	mangoes	pears	pear	melons	raspberries	figs	persimmons	succulent	breadfruit	berries	watermelon	plums	grapefruits	honeydew	hothouse	cherries	apricots	apple	pomegranate	pomegranates	harvested	grapefruit	sweet	juicy	almonds	peach	melon	persimmon	Strawberries	peachy	caramelized	grape	tart	papayas	blackberries	mangos	bloom	buds	harvesting	papaya	oranges	tomatoes	sweetness	plum	Ripe	coriander	blossoms	apricot	sweetmeats	eggplants	harvest	deciduous	plump	bananas	citrus	almond	purslane	seeded	blooms	fertile	harvesters	blossom	citrusy	tripe	tangerines	seedpods	strawberry	tangy	avocados	harvester	matured	cantaloupes	mature	ginkgo	fullness	seed	Watermelon	chewy	mycowood	blueberries	honeyed	pubescent	seeds	heady	redolent	guava
slowing	slowed	Slow	slower	slowest	steady	uptake	Slowing	slowly	slowdown	slows	slowness	pace	unhurried	halting	rhythm	deliberate	quick	sluggish	inexorable	leisurely	rapid	relentless	rhythmic	Maslow	quicken	quickening	gait	ponderous	faster	inexorably	rhythmical	gentle	rhythms	movements	sluggishly	arrhythmic	gradual	haltingly	lazy	accelerate	speedy	clumsy	deliberation	quickened	decelerate	syncopated	syncopation	Slower	Shallow	careful	rhythmically	clockwise	cadence	quickens	deliberating	rate	lethargic	flow	painful	languid	methodical	accelerated	repetitive	unsteady	speed	imperceptible	synchronized	pause	deliberated	jerky	easy	synchronize	slacken	apace	deliberateness	decelerated	downbeat	quicker	torpid	laborious	leaden	unhurriedly	descent	swift	downward	purposeful	homeward	counterclockwise	arrhythmia	crawl	measured	synchronization	glutinous	imperceptibly	motion	movin	breaststroke	beat	coasting
dying	Dead	deceased	died	corpses	corpse	killed	unburied	murdered	lifeless	slain	lying	buried	entombed	doornail	mutilated	maimed	kill	decapitated	interred	death	slaughtered	mutilating	facedown	mourned	wounded	bodies	mourns	unconscious	mummified	coffin	die	decomposed	carcass	perished	murderess	cremated	Buried	grave	deaden	deaths	motionless	graves	carcasses	lifelessly	gone	mutilate	mortally	fainted	eyeless	coffins	there	voiceless	decapitate	deserter	asleep	crucified	poisoned	prostrate	dies	killing	cremate	mutilation	skeletons	immortalized	undead	disinterred	bury	comatose	putrefying	deathly	decapitating	mourn	decapitation	drowned	inert	murderer	mortal	missing	ground	graveyard	gravedigger	asphyxiated	immortal	murdering	embalmed	exhumed	stillborn	decompose	reanimated	headless	decomposing	butchered	limp	cadavers	fallen	Alive	faithless	assassinated	here
cleaned	cleans	Clean	cleaning	spotless	cleanser	scrubbed	wash	cleansers	cleanest	cleaner	cleanliness	cleanly	cleanse	cleaners	washed	tidy	cleanup	neat	cleansed	scrubber	vacuumed	scrubbers	Cleaned	washing	disinfectant	antiseptic	ironed	immaculate	freshen	wipe	scrubbing	bleach	unclean	clear	crisp	sterile	washings	immaculately	rinse	Washed	polish	washrag	buffed	tidied	Lysol	mopped	Cleaning	Clorox	pristine	sterilized	laundered	swabbed	dry	dishtowels	mess	disinfected	swabbing	dishrags	loofah	laundry	smooth	housecleaning	countertops	nice	presentable	scrub	soap	dishwashing	sweep	washcloths	sterilize	cool	rag	showered	shaving	dirtied	towels	polished	sponged	shampooed	mopping	polishes	sponge	linen	shampooing	sponging	rinsed	warm	starched	dishcloth	linens	neath	greasepaint	dusted	ammonia	towel	soaped	dishpan	gunk
unexciting	Exciting	interesting	thrilling	excited	exhilarating	adventurous	fascinating	excite	excites	enjoyable	adventure	adventuresome	uninteresting	fun	thrillingly	boring	intriguing	scary	entertaining	excitable	important	thrills	wonderful	enticing	glamorous	pleasurable	adventures	thriller	unsettling	titillating	incredible	frightening	amazing	Thrilling	lucrative	erotic	wondrous	RC	exotic	sensational	amusing	eventful	fantastical	fantastic	exhausting	terrifying	Interesting	exhilaration	inspiring	risky	farfetched	stressful	dangerous	ambitious	delightful	counterproductive	unsatisfying	Exotic	propitious	happen	disappointing	satisfying	exhilarated	unusual	unattainable	stimulating	titillation	imaginative	thrilled	challenging	romantic	worthwhile	excitement	productive	daunting	enriching	newsworthy	compelling	thrill	invigorating	unpredictable	intimate	disturbing	embarrassing	shocking	awful	cathartic	happenings	rewarding	embarking	unglamorous	scariest	gratifying	appealing	inclusive	unoriginal	happening	enthralling	fantastically
calms	calmed	quiet	calming	calmness	serene	calmer	Calm	cool	becalmed	steady	soothing	serenity	calmest	gentle	tranquility	unemotional	composure	relax	stoic	steadiness	tranquil	peaceful	nonchalant	reassuring	sober	unruffled	calmly	quietude	placid	nonchalance	reassure	unflappable	peacefulness	impassive	gentled	emotionless	equanimity	tranquilly	sooth	expressionless	reassured	poise	smooth	peace	aloof	tone	quieted	breathlessness	tranquillity	comforted	nerves	unquiet	unhurried	placidity	unnerves	solemn	stillness	detachment	peaceable	lucid	sane	demeanor	steading	restrained	forthright	stoical	Reassured	reassuringly	straightforward	cheerful	soothed	ease	steadying	soothingly	meditative	Steady	placating	quieting	steadied	confident	thoughtful	reassurance	lulling	cordial	panic	straightforwardly	quietness	rational	unnerving	lulls	civil	panicky	seriousness	untroubled	authoritative	passionless	levelheaded	quieter	steadfast
